NET	V	E	UB	LB	MINFILL	DEGREE
alarm	37	65	4	4	4	8
andes	223	626	16	6	?	23
asia	8	10	2	2	2	5
barley	48	126	7	5	8	13
cancer	5	5	2	2	?	4
child	20	30	3	3	?	8
diabetes	413	819	4	3	?	48
earthquake	5	5	2	2	2	4
hailfinder	56	99	4	4	?	17
hepar2		70	158	6	6	?	26
insurance	27	70	7	4	?	10
link		724	1738	15	4	17	31
mildew		35	80	4	3	?	9
munin1		189	366	11	4	?	18
munin2		1003	1662	8	3	?	30
munin3		1044	1745	7	4	?	73
munin4		1041	1843	8	4	?	73
pathfinder	135	205	4	4	?	132
pigs		442	806	10	3	?	68
water		32	123	10	6	?	13
win95pts	76	225	8	7	?	29
